boot-id,total,firmware,loader,kernel,initrd,userspace
1,19.490,7.160,2.491,0.776,4.005,5.055
2,24.665,7.131,2.439,0.781,3.553,10.757
3,20.402,7.160,2.600,0.787,3.595,6.259
4,21.506,7.152,2.798,0.782,4.174,6.597
5,19.153,7.169,2.675,0.774,3.688,4.844
N/A,N/A,N/A,N/A,N/A,N/A,N/A
6,19.168,7.157,1.440,0.752,2.702,7.115
7,18.299,7.168,0.700,0.752,2.527,7.152
8,15.227,7.767,0.792,0.762,2.575,3.329
9,17.011,7.129,1.697,0.755,2.774,4.654
10,17.169,7.169,1.621,0.754,2.866,4.758
